,TICKER,COMPANY,GICS_SECTOR,GICS_INDUSTRY,HQ,CIK,WIKI_URL
0,MMM,3M Company,Industrials,Industrial Conglomerates,"St. Paul, Minnesota",66740,https://en.wikipedia.org/wiki/3M
1,ABT,Abbott Laboratories,Health Care,Health Care Equipment,"North Chicago, Illinois",1800,https://en.wikipedia.org/wiki/Abbott_Laboratories
2,ABBV,AbbVie Inc.,Health Care,Pharmaceuticals,"North Chicago, Illinois",1551152,https://en.wikipedia.org/wiki/AbbVie_Inc.
3,ABMD,ABIOMED Inc,Health Care,Health Care Equipment,"Danvers, Massachusetts",815094,https://en.wikipedia.org/wiki/Abiomed
4,ACN,Accenture plc,Information Technology,IT Consulting & Other Services,"Dublin, Ireland",1467373,https://en.wikipedia.org/wiki/Accenture_plc
5,ATVI,Activision Blizzard,Communication Services,Interactive Home Entertainment,"Santa Monica, California",718877,https://en.wikipedia.org/wiki/Activision_Blizzard
6,ADBE,Adobe Inc.,Information Technology,Application Software,"San Jose, California",796343,https://en.wikipedia.org/wiki/Adobe_Inc.
7,AMD,Advanced Micro Devices Inc,Information Technology,Semiconductors,"Santa Clara, California",2488,https://en.wikipedia.org/wiki/Advanced_Micro_Devices_Inc
8,AAP,Advance Auto Parts,Consumer Discretionary,Automotive Retail,"Raleigh, North Carolina",1158449,https://en.wikipedia.org/wiki/Advance_Auto_Parts
9,AES,AES Corp,Utilities,Independent Power Producers & Energy Traders,"Arlington, Virginia",874761,https://en.wikipedia.org/wiki/AES_Corp
10,AFL,AFLAC Inc,Financials,Life & Health Insurance,"Columbus, Georgia",4977,https://en.wikipedia.org/wiki/AFLAC_Inc
11,A,Agilent Technologies Inc,Health Care,Health Care Equipment,"Santa Clara, California",1090872,https://en.wikipedia.org/wiki/Agilent_Technologies_Inc
12,APD,Air Products & Chemicals Inc,Materials,Industrial Gases,"Allentown, Pennsylvania",2969,https://en.wikipedia.org/wiki/Air_Products_%26_Chemicals_Inc
13,AKAM,Akamai Technologies Inc,Information Technology,Internet Services & Infrastructure,"Cambridge, Massachusetts",1086222,https://en.wikipedia.org/wiki/Akamai_Technologies_Inc
14,ALK,Alaska Air Group Inc,Industrials,Airlines,"Seattle, Washington",766421,https://en.wikipedia.org/wiki/Alaska_Air_Group_Inc
15,ALB,Albemarle Corp,Materials,Specialty Chemicals,"Charlotte, North Carolina",915913,https://en.wikipedia.org/wiki/Albemarle_Corp
16,ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,"Pasadena, California",1035443,https://en.wikipedia.org/wiki/Alexandria_Real_Estate_Equities
17,ALXN,Alexion Pharmaceuticals,Health Care,Biotechnology,"Boston, Massachusetts",899866,https://en.wikipedia.org/wiki/Alexion_Pharmaceuticals
18,ALGN,Align Technology,Health Care,Health Care Supplies,"San Jose, California",1097149,https://en.wikipedia.org/wiki/Align_Technology
19,ALLE,Allegion,Industrials,Building Products,"Dublin, Ireland",1579241,https://en.wikipedia.org/wiki/Allegion
20,ADS,Alliance Data Systems,Information Technology,Data Processing & Outsourced Services,"Plano, Texas",1101215,https://en.wikipedia.org/wiki/Alliance_Data_Systems
21,LNT,Alliant Energy Corp,Utilities,Electric Utilities,"Madison, Wisconsin",352541,https://en.wikipedia.org/wiki/Alliant_Energy_Corp
22,ALL,Allstate Corp,Financials,Property & Casualty Insurance,"Northfield Township, Illinois",899051,https://en.wikipedia.org/wiki/Allstate_Corp
23,GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,"Mountain View, California",1652044,https://en.wikipedia.org/wiki/Alphabet_Inc.
24,GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,"Mountain View, California",1652044,https://en.wikipedia.org/wiki/Alphabet_Inc.
25,MO,Altria Group Inc,Consumer Staples,Tobacco,"Richmond, Virginia",764180,https://en.wikipedia.org/wiki/Altria_Group_Inc
26,AMZN,Amazon.com Inc.,Consumer Discretionary,Internet & Direct Marketing Retail,"Seattle, Washington",1018724,https://en.wikipedia.org/wiki/Amazon.com_Inc.
27,AMCR,Amcor plc,Materials,Paper Packaging,"Warmley, Bristol, United Kingdom",1748790,https://en.wikipedia.org/wiki/Amcor_plc
