,TICKER,COMPANY,GICS_SECTOR,GICS_INDUSTRY,HQ,CIK,WIKI_URL
0,MMM,3M Company,Industrials,Industrial Conglomerates,"St. Paul, Minnesota",0000066740,https://en.wikipedia.org/wiki/3M
1,ABT,Abbott Laboratories,Health Care,Health Care Equipment,"North Chicago, Illinois",0000001800,https://en.wikipedia.org/wiki/Abbott_Laboratories
2,ABBV,AbbVie Inc.,Health Care,Pharmaceuticals,"North Chicago, Illinois",0001551152,https://en.wikipedia.org/wiki/AbbVie_Inc.
3,ABMD,ABIOMED Inc,Health Care,Health Care Equipment,"Danvers, Massachusetts",0000815094,https://en.wikipedia.org/wiki/Abiomed
4,ACN,Accenture plc,Information Technology,IT Consulting & Other Services,"Dublin, Ireland",0001467373,https://en.wikipedia.org/wiki/Accenture_plc
5,ATVI,Activision Blizzard,Communication Services,Interactive Home Entertainment,"Santa Monica, California",0000718877,https://en.wikipedia.org/wiki/Activision_Blizzard
6,ADBE,Adobe Inc.,Information Technology,Application Software,"San Jose, California",0000796343,https://en.wikipedia.org/wiki/Adobe_Inc.
7,AMD,Advanced Micro Devices Inc,Information Technology,Semiconductors,"Santa Clara, California",0000002488,https://en.wikipedia.org/wiki/Advanced_Micro_Devices_Inc
8,AAP,Advance Auto Parts,Consumer Discretionary,Automotive Retail,"Raleigh, North Carolina",0001158449,https://en.wikipedia.org/wiki/Advance_Auto_Parts
9,AES,AES Corp,Utilities,Independent Power Producers & Energy Traders,"Arlington, Virginia",0000874761,https://en.wikipedia.org/wiki/AES_Corp
10,AFL,AFLAC Inc,Financials,Life & Health Insurance,"Columbus, Georgia",0000004977,https://en.wikipedia.org/wiki/AFLAC_Inc
11,A,Agilent Technologies Inc,Health Care,Health Care Equipment,"Santa Clara, California",0001090872,https://en.wikipedia.org/wiki/Agilent_Technologies_Inc
12,APD,Air Products & Chemicals Inc,Materials,Industrial Gases,"Allentown, Pennsylvania",0000002969,https://en.wikipedia.org/wiki/Air_Products_%26_Chemicals_Inc
13,AKAM,Akamai Technologies Inc,Information Technology,Internet Services & Infrastructure,"Cambridge, Massachusetts",0001086222,https://en.wikipedia.org/wiki/Akamai_Technologies_Inc
14,ALK,Alaska Air Group Inc,Industrials,Airlines,"Seattle, Washington",0000766421,https://en.wikipedia.org/wiki/Alaska_Air_Group_Inc
15,ALB,Albemarle Corp,Materials,Specialty Chemicals,"Charlotte, North Carolina",0000915913,https://en.wikipedia.org/wiki/Albemarle_Corp
16,ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,"Pasadena, California",0001035443,https://en.wikipedia.org/wiki/Alexandria_Real_Estate_Equities
17,ALXN,Alexion Pharmaceuticals,Health Care,Biotechnology,"Boston, Massachusetts",0000899866,https://en.wikipedia.org/wiki/Alexion_Pharmaceuticals
18,ALGN,Align Technology,Health Care,Health Care Supplies,"San Jose, California",0001097149,https://en.wikipedia.org/wiki/Align_Technology
19,ALLE,Allegion,Industrials,Building Products,"Dublin, Ireland",0001579241,https://en.wikipedia.org/wiki/Allegion
20,ADS,Alliance Data Systems,Information Technology,Data Processing & Outsourced Services,"Plano, Texas",0001101215,https://en.wikipedia.org/wiki/Alliance_Data_Systems
21,LNT,Alliant Energy Corp,Utilities,Electric Utilities,"Madison, Wisconsin",0000352541,https://en.wikipedia.org/wiki/Alliant_Energy_Corp
22,ALL,Allstate Corp,Financials,Property & Casualty Insurance,"Northfield Township, Illinois",0000899051,https://en.wikipedia.org/wiki/Allstate_Corp
23,GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,"Mountain View, California",0001652044,https://en.wikipedia.org/wiki/Alphabet_Inc.
24,GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,"Mountain View, California",0001652044,https://en.wikipedia.org/wiki/Alphabet_Inc.
25,MO,Altria Group Inc,Consumer Staples,Tobacco,"Richmond, Virginia",0000764180,https://en.wikipedia.org/wiki/Altria_Group_Inc
26,AMZN,Amazon.com Inc.,Consumer Discretionary,Internet & Direct Marketing Retail,"Seattle, Washington",0001018724,https://en.wikipedia.org/wiki/Amazon.com_Inc.
27,AMCR,Amcor plc,Materials,Paper Packaging,"Warmley, Bristol, United Kingdom",0001748790,https://en.wikipedia.org/wiki/Amcor_plc
28,AEE,Ameren Corp,Utilities,Multi-Utilities,"St. Louis, Missouri",0001002910,https://en.wikipedia.org/wiki/Ameren_Corp
29,AAL,American Airlines Group,Industrials,Airlines,"Fort Worth, Texas",0000006201,https://en.wikipedia.org/wiki/American_Airlines_Group
30,AEP,American Electric Power,Utilities,Electric Utilities,"Columbus, Ohio",0000004904,https://en.wikipedia.org/wiki/American_Electric_Power
31,AXP,American Express Co,Financials,Consumer Finance,"New York, New York",0000004962,https://en.wikipedia.org/wiki/American_Express_Co
32,AIG,American International Group,Financials,Property & Casualty Insurance,"New York, New York",0000005272,https://en.wikipedia.org/wiki/American_International_Group
33,AMT,American Tower Corp.,Real Estate,Specialized REITs,"Boston, Massachusetts",0001053507,https://en.wikipedia.org/wiki/American_Tower_Corp.
34,AWK,American Water Works Company Inc,Utilities,Water Utilities,"Camden, New Jersey",0001410636,https://en.wikipedia.org/wiki/American_Water_Works
35,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,"Minneapolis, Minnesota",0000820027,https://en.wikipedia.org/wiki/Ameriprise_Financial
36,ABC,AmerisourceBergen Corp,Health Care,Health Care Distributors,"Chesterbrook, Pennsylvania",0001140859,https://en.wikipedia.org/wiki/AmerisourceBergen_Corp
37,AME,AMETEK Inc.,Industrials,Electrical Components & Equipment,"Berwyn, Pennsylvania",0001037868,https://en.wikipedia.org/wiki/AMETEK_Inc.
38,AMGN,Amgen Inc.,Health Care,Biotechnology,"Thousand Oaks, California",0000318154,https://en.wikipedia.org/wiki/Amgen_Inc.
39,APH,Amphenol Corp,Information Technology,Electronic Components,"Wallingford, Connecticut",0000820313,https://en.wikipedia.org/wiki/Amphenol_Corp
40,ADI,"Analog Devices, Inc.",Information Technology,Semiconductors,"Norwood, Massachusetts",0000006281,"https://en.wikipedia.org/wiki/Analog_Devices,_Inc."
41,ANSS,ANSYS,Information Technology,Application Software,"Canonsburg, Pennsylvania",0001013462,https://en.wikipedia.org/wiki/ANSYS
42,ANTM,Anthem,Health Care,Managed Health Care,"Indianapolis, Indiana",0001156039,https://en.wikipedia.org/wiki/Anthem_(company)
43,AON,Aon plc,Financials,Insurance Brokers,"London, United Kingdom",0000315293,https://en.wikipedia.org/wiki/Aon_plc
44,AOS,A.O. Smith Corp,Industrials,Building Products,"Milwaukee, Wisconsin",0000091142,https://en.wikipedia.org/wiki/A.O._Smith_Corp
45,APA,Apache Corporation,Energy,Oil & Gas Exploration & Production,"Houston, Texas",0000006769,https://en.wikipedia.org/wiki/Apache_Corporation
46,AIV,Apartment Investment & Management,Real Estate,Residential REITs,"Denver, Colorado",0000922864,https://en.wikipedia.org/wiki/Apartment_Investment_%26_Management
47,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",0000320193,https://en.wikipedia.org/wiki/Apple_Inc.
48,AMAT,Applied Materials Inc.,Information Technology,Semiconductor Equipment,"Santa Clara, California",0000006951,https://en.wikipedia.org/wiki/Applied_Materials_Inc.
49,APTV,Aptiv PLC,Consumer Discretionary,Auto Parts & Equipment,"Dublin, Ireland",0001521332,https://en.wikipedia.org/wiki/Aptiv_PLC
50,ADM,Archer-Daniels-Midland Co,Consumer Staples,Agricultural Products,"Chicago, Illinois",0000007084,https://en.wikipedia.org/wiki/Archer-Daniels-Midland_Co
51,ANET,Arista Networks,Information Technology,Communications Equipment,"Santa Clara, California",0001596532,https://en.wikipedia.org/wiki/Arista_Networks
52,AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,"Itasca, Illinois",0000354190,https://en.wikipedia.org/wiki/Arthur_J._Gallagher_%26_Co.
53,AIZ,Assurant,Financials,Multi-line Insurance,"New York, New York",0001267238,https://en.wikipedia.org/wiki/Assurant
54,T,AT&T Inc.,Communication Services,Integrated Telecommunication Services,"Dallas, Texas",0000732717,https://en.wikipedia.org/wiki/AT%26T_Inc.
55,ATO,Atmos Energy,Utilities,Gas Utilities,"Dallas, Texas",0000731802,https://en.wikipedia.org/wiki/Atmos_Energy
56,ADSK,Autodesk Inc.,Information Technology,Application Software,"San Rafael, California",0000769397,https://en.wikipedia.org/wiki/Autodesk_Inc.
57,ADP,Automatic Data Processing,Information Technology,Internet Services & Infrastructure,"Roseland, New Jersey",0000008670,https://en.wikipedia.org/wiki/Automatic_Data_Processing
58,AZO,AutoZone Inc,Consumer Discretionary,Specialty Stores,"Memphis, Tennessee",0000866787,https://en.wikipedia.org/wiki/AutoZone_Inc
59,AVB,AvalonBay Communities,Real Estate,Residential REITs,"Arlington, Virginia[3]",0000915912,https://en.wikipedia.org/wiki/AvalonBay_Communities
60,AVY,Avery Dennison Corp,Materials,Paper Packaging,"Glendale, California",0000008818,https://en.wikipedia.org/wiki/Avery_Dennison_Corp
61,BKR,Baker Hughes Co,Energy,Oil & Gas Equipment & Services,"Houston, Texas",0001701605,https://en.wikipedia.org/wiki/Baker_Hughes
62,BLL,Ball Corp,Materials,Metal & Glass Containers,"Broomfield, Colorado",0000009389,https://en.wikipedia.org/wiki/Ball_Corp
63,BAC,Bank of America Corp,Financials,Diversified Banks,"Charlotte, North Carolina",0000070858,https://en.wikipedia.org/wiki/Bank_of_America_Corp
64,BK,The Bank of New York Mellon,Financials,Asset Management & Custody Banks,"New York, New York",0001390777,https://en.wikipedia.org/wiki/The_Bank_of_New_York_Mellon
65,BAX,Baxter International Inc.,Health Care,Health Care Equipment,"Deerfield, Illinois",0000010456,https://en.wikipedia.org/wiki/Baxter_International_Inc.
66,BDX,Becton Dickinson,Health Care,Health Care Equipment,"Franklin Lakes, New Jersey",0000010795,https://en.wikipedia.org/wiki/Becton_Dickinson
67,BRK.B,Berkshire Hathaway,Financials,Multi-Sector Holdings,"Omaha, Nebraska",0001067983,https://en.wikipedia.org/wiki/Berkshire_Hathaway
68,BBY,Best Buy Co. Inc.,Consumer Discretionary,Computer & Electronics Retail,"Richfield, Minnesota",0000764478,https://en.wikipedia.org/wiki/Best_Buy_Co._Inc.
